created_at,hashtags,text,BLM
2018-01-01, ,RT  : Career Lieberman democrat    will make sure that council speakership stays in white hands as it has since the…,neither
2018-01-10,BlueLivesMatter BackTheBlue,"RT  : MANHUNT: AZ Issues Blue Alert For Suspect Who Dragged Police Officer
#BlueLivesMatter #BackTheBlue

Full Story:  ",neither
2018-01-11,BackTheBlue BlueLivesMatter MAGA,"RT  : This is a great op/ed &amp; well worth the read!

God bless that thin Blue Line...
🔴⚪🔵
#BackTheBlue
#BlueLivesMatter 
#MAGA…",negative
2019-01-11,EOW BlueLivesMatter,"RT  : 🙏🏼Officer Down #EOW🙏🏼
    🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸❤️🇺🇸

3rd police 👮 👮🏾‍♀️ officer killed - #BlueLivesMatter

California police off…",neither
2018-01-11, ,"RT  : Rest In Peace   Deputy Daniel McCartney who was shot and killed on January 8, 2018.  Please retweet to honor…",neither
2018-01-13,backtheblue BackTheBlue BlueLivesMatter,"RT  : #backtheblue 
#BackTheBlue
#BlueLivesMatter 
Thank You To All Our Police and First Responders 🙏
It truly takes a Servants H…",negative
2017-01-16,johnlewis,MLK would be sad to learn u don't support human right to life of unborn Black girls+boys. Black Lives Matter! All Lives Matter!#johnlewis,positive
2020-01-18,DeathsofDespair,"RT  : Data don't tell stories: people tell stories with data.

New post by   faculty: “#DeathsofDespair” Meets “#BlackLives…",neither
2016-01-18,DemDebate Hillary ImWithHer DEMS GOP LGBTQ BlackLivesMatter,#DemDebate It is so damn obvious that #Hillary won the debate hands-down ❗️❗️#ImWithHer #DEMS #GOP #LGBTQ #BlackLivesMatter #2016🇺🇸,neither
2018-01-02,BlackLivesMatter,RT  : Obama was friends with Harvey Weinstein who urged Clinton campaign to silence Sanders's #BlackLivesMatter message  ,negative
2017-01-02,BuildTheWall CCOT TCOT Veterans BlueLivesMatter 2A NRA,"RT  : #BuildTheWall Who wants to look at this filthy cleaning!
#CCOT #TCOT #Veterans #BlueLivesMatter #2A #NRA
 ",negative
2018-01-02,BlueLivesMatter BackTheBlue,"Police Release Details On Suspected Killer, AMBER Alert Kidnap Suspect
#BlueLivesMatter #BackTheBlue

Full Story:    ",neither
2017-01-20,BLM BlackLivesMatter,RT  : freedom is never voluntarily given by the oppressor it MUST be demanded by the oppressed ✊🏾#BLM #BlackLivesMatter #Ina…,positive
2018-01-20,JosephHaynes,RT  : To the “AllLivesMatter” group... Here’s your chance to prove it!  #JosephHaynes,neither
2018-01-21,BlueLivesMatter BackTheBlue,"RT  : Antifa Burns U.S. Flag At Protest, So Philly Officer Steps Up
#BlueLivesMatter #BackTheBlue
Full Story:  ",neither
2017-01-22,BlackLivesMatter NoDAPL,"RT  : Do you know how useful that privilege, that POWER would be to #BlackLivesMatter or #NoDAPL? To be able to be heard witho…",positive
2017-01-22,womensmarch blacklivesmatter womensmarchla losangeles equality,"RT  : Most real photo of the day ❤️ 😃

#womensmarch #blacklivesmatter #womensmarchla #losangeles #equality  ",positive
